,0
41,https://www.tripadvisor.com/Restaurant_Review-g13282338-d10437791-Reviews-Mezedopoleio_O_Kostas-Triandria_Thessaloniki_Thessaloniki_Region_Central_Maced.html
42,https://www.tripadvisor.com/Restaurant_Review-g189473-d11750334-Reviews-Marea_Sea_Spirit-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
43,https://www.tripadvisor.com/Restaurant_Review-g189473-d7261395-Reviews-Nostos-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
44,https://www.tripadvisor.com/Restaurant_Review-g189473-d8133227-Reviews-Zorba_Tavern-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
45,https://www.tripadvisor.com/Restaurant_Review-g189473-d4005081-Reviews-Poselli_Pizza-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
46,https://www.tripadvisor.com/Restaurant_Review-g189473-d6557460-Reviews-Alas_Restaurant-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
47,https://www.tripadvisor.com/Restaurant_Review-g189473-d16755238-Reviews-Akratos_Oinos-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
48,https://www.tripadvisor.com/Restaurant_Review-g189473-d18980933-Reviews-Mangiare_Gastro_Bar-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
49,https://www.tripadvisor.com/Restaurant_Review-g189473-d20263051-Reviews-L_albero-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
50,https://www.tripadvisor.com/Restaurant_Review-g189473-d7815460-Reviews-Bazagiazi-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
51,https://www.tripadvisor.com/Restaurant_Review-g189473-d15639536-Reviews-Mamalouka_SKG-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
52,https://www.tripadvisor.com/Restaurant_Review-g189473-d14967141-Reviews-Picanha_meat_and_more-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
53,https://www.tripadvisor.com/Restaurant_Review-g189473-d6674371-Reviews-Massaya-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
54,https://www.tripadvisor.com/Restaurant_Review-g189473-d1818726-Reviews-B_Restaurant-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
55,https://www.tripadvisor.com/Restaurant_Review-g189473-d9709105-Reviews-Thria_Restaurant-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
56,https://www.tripadvisor.com/Restaurant_Review-g189473-d6608392-Reviews-To_Neon_Kafeneion-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
57,https://www.tripadvisor.com/Restaurant_Review-g189473-d10673793-Reviews-Pizza_Plain-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
58,https://www.tripadvisor.com/Restaurant_Review-g189473-d3562617-Reviews-Plaisir-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
59,https://www.tripadvisor.com/Restaurant_Review-g189473-d1895439-Reviews-Palati-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
60,https://www.tripadvisor.com/Restaurant_Review-g189473-d11750334-Reviews-Marea_Sea_Spirit-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
61,https://www.tripadvisor.com/Restaurant_Review-g189473-d3547914-Reviews-Nea_Folia-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
62,https://www.tripadvisor.com/Restaurant_Review-g189473-d6739919-Reviews-Vogatsikou_3-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
63,https://www.tripadvisor.com/Restaurant_Review-g189473-d3874525-Reviews-Sempriko-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
64,https://www.tripadvisor.com/Restaurant_Review-g189473-d839316-Reviews-Igglis-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
65,https://www.tripadvisor.com/Restaurant_Review-g189473-d2634237-Reviews-Akadimia_art_restaurant-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
66,https://www.tripadvisor.com/Restaurant_Review-g189473-d3577032-Reviews-Clochard-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
67,https://www.tripadvisor.com/Restaurant_Review-g189473-d2267893-Reviews-Ticho_Ticho-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
68,https://www.tripadvisor.com/Restaurant_Review-g189473-d2490692-Reviews-Ta_Koumparakia-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
69,https://www.tripadvisor.com/Restaurant_Review-g189473-d2457847-Reviews-Rodi_Meli-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
70,https://www.tripadvisor.com/Restaurant_Review-g189473-d15360086-Reviews-Porta_Anihti-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
71,https://www.tripadvisor.com/Restaurant_Review-g189473-d8750080-Reviews-Bougatsa_Giannis-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
72,https://www.tripadvisor.com/Restaurant_Review-g189473-d23450258-Reviews-Brunchsin-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
73,https://www.tripadvisor.com/Restaurant_Review-g189473-d1731443-Reviews-7_Thalasses-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
74,https://www.tripadvisor.com/Restaurant_Review-g189473-d12180415-Reviews-Finokio_Meze_Bar-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
75,https://www.tripadvisor.com/Restaurant_Review-g189473-d6942289-Reviews-Duck_Private_Cheffing-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
76,https://www.tripadvisor.com/Restaurant_Review-g189473-d6073219-Reviews-Pax_burgers-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
